Variant SKU,Image Src,Image Alt Text,Image Position,Image Command
LCW37-00-004-3,https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-3_97.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-3-a_58.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-3-b_59.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-3-c_60.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-3-d_61.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-3-e_62.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-3-f_63.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-3-g_64.jpg,#serie_3,2,MERGE
LCW37-00-004-4,https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-4_98.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-4-a_65.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-4-b_66.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-4-c_67.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-4-d_68.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-4-e_69.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-4-f_70.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-4-g_71.jpg,#serie_4,2,MERGE
LCW37-00-004-5,https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-5.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-5-a_72.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-5-b_73.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-5-c_74.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-00-004-5-d_75.jpg,#serie_5,2,MERGE
LCW37-18-001-1,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-1.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-1-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-1-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-1-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-1-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-1-e.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-1-f.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-1-g.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-1-h.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-1-i.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-1-j.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-1-k.jpg,#serie_1,2,MERGE
LCW37-18-001-2,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-2.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-2-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-2-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-2-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-2-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-2-e.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-2-f.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-2-g.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-2-h.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-2-i.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-2-j.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-2-k.jpg,#serie_2,2,MERGE
LCW37-18-001-3,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-3.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-3-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-3-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-3-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-3-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-3-e.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-3-f.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-3-g.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-3-h.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-3-i.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-3-j.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-3-k.jpg,#serie_3,2,MERGE
LCW37-18-001-4,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-4.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-4-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-4-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-4-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-4-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-4-e.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-4-f.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-4-g.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-4-h.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-4-i.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-4-j.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-4-k.jpg,#serie_4,2,MERGE
LCW37-18-001-5,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-5.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-5-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-5-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-5-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-5-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-5-e.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-5-f.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-5-g.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-5-h.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-5-i.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-5-j.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-5-k.jpg,#serie_5,2,MERGE
LCW37-18-001-6,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-6.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-6-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-6-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-6-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-6-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-6-e.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-6-f.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-6-g.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-6-h.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-6-i.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-6-j.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-6-k.jpg,#serie_6,2,MERGE
LCW37-18-001-7,https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-7.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-7-a.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-7-b.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-7-c.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-7-d.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-7-e.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-7-f.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-7-g.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-7-h.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-7-i.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-7-j.jpg; https://lux-case.com/media/catalog/product/l/c/lcw37-18-001-7-k.jpg,#serie_7,2,MERGE
